SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,RoadName,RoadID,,,,,,
71,117.2650586,31.86193563,1,0,16,环城西路-三孝口西站,2,,,,,,
72,117.2651406,31.86195891,1,0,16,环城西路-三孝口西站,2,,,,,,
73,117.2652239,31.86198463,1,0,16,环城西路-三孝口西站,2,,,,,,
74,117.2653085,31.86201036,1,0,16,环城西路-三孝口西站,2,,,,,,
75,117.2653893,31.86204589,1,0,16,环城西路-三孝口西站,2,,,,,,
76,117.2654789,31.86208251,1,0,16,环城西路-三孝口西站,2,,,,,,
77,117.2655624,31.86210702,1,0,16,环城西路-三孝口西站,2,,,,,,
78,117.2656294,31.86214021,1,0,16,环城西路-三孝口西站,2,,,,,,
79,117.2657201,31.86216594,1,0,16,三孝口西站,2,,,,,,
80,117.2703732,31.86320908,1,0,16,金寨路,3,,,,,,
81,117.2704434,31.863217,1,0,16,金寨路-桐城路,3,,,,,,
82,117.2705243,31.86322612,1,0,16,金寨路-桐城路,3,,,,,,
83,117.2705945,31.86325197,1,0,16,金寨路-桐城路,3,,,,,,
84,117.2706692,31.86326799,1,0,16,金寨路-桐城路,3,,,,,,
85,117.2707464,31.86326799,1,0,16,金寨路-桐城路,3,,,,,,
86,117.2708187,31.86328896,1,0,16,金寨路-桐城路,3,,,,,,
87,117.2709056,31.86330201,1,0,16,金寨路-桐城路,3,,,,,,
88,117.2709804,31.863321,1,0,16,金寨路-桐城路,3,,,,,,
89,117.2710575,31.863321,1,0,16,金寨路-桐城路,3,,,,,,
90,117.2711421,31.86333603,1,0,16,金寨路-桐城路,3,,,,,,
91,117.2712229,31.86333603,1,0,16,金寨路-桐城路,3,,,,,,
92,117.2712976,31.86335789,1,0,16,金寨路-桐城路,3,,,,,,
93,117.2713813,31.86337648,1,0,16,金寨路-桐城路,3,,,,,,
94,117.2714476,31.86339498,1,0,16,金寨路-桐城路,3,,,,,,
95,117.2715316,31.86339498,1,0,16,金寨路-桐城路,3,,,,,,
96,117.2716132,31.86341716,1,0,16,金寨路-桐城路,3,,,,,,
97,117.2716872,31.86342895,1,0,16,金寨路-桐城路,3,,,,,,
98,117.2717644,31.86342999,1,0,16,金寨路-桐城路,3,,,,,,
99,117.2718391,31.86344855,1,0,16,金寨路-桐城路,3,,,,,,
100,117.2719102,31.8634608,1,0,16,金寨路-桐城路,3,,,,,,
101,117.2719803,31.8634788,1,0,16,金寨路-桐城路,3,,,,,,
102,117.2720635,31.86348798,1,0,16,金寨路-桐城路,3,,,,,,
103,117.2721307,31.86350703,1,0,16,金寨路-桐城路,3,,,,,,
104,117.2722054,31.8635196,1,0,16,金寨路-桐城路,3,,,,,,
105,117.2722838,31.8635294,1,0,16,金寨路-桐城路,3,,,,,,
106,117.272361,31.86353552,1,0,16,金寨路-桐城路,3,,,,,,
107,117.2724357,31.86355145,1,0,16,金寨路-桐城路,3,,,,,,
108,117.2725129,31.8635686,1,0,16,金寨路-桐城路,3,,,,,,
109,117.272598,31.863582,1,0,16,金寨路-桐城路,3,,,,,,
110,117.2726795,31.86359555,1,0,16,金寨路-桐城路,3,,,,,,
111,117.2727574,31.86361408,1,0,16,金寨路-桐城路,3,,,,,,
112,117.2728366,31.86361998,1,0,16,金寨路-桐城路,3,,,,,,
113,117.272911,31.86362703,1,0,16,金寨路-桐城路,3,,,,,,
114,117.2729947,31.86363176,1,0,16,金寨路-桐城路,3,,,,,,
115,117.2730758,31.8636378,1,0,16,金寨路-桐城路,3,,,,,,
116,117.2731523,31.8636568,1,0,16,金寨路-桐城路,3,,,,,,
117,117.2732369,31.86366293,1,0,16,金寨路-桐城路,3,,,,,,
118,117.2733153,31.863679,1,0,16,金寨路-桐城路,3,,,,,,
119,117.273408,31.86370384,1,0,16,金寨路-桐城路,3,,,,,,
120,117.2734929,31.86369504,1,0,16,金寨路-桐城路,3,,,,,,
121,117.2735736,31.86371071,1,0,16,金寨路-桐城路,3,,,,,,
122,117.2736672,31.86370899,1,0,16,金寨路-桐城路,3,,,,,,
123,117.2737458,31.86372226,1,0,16,金寨路-桐城路,3,,,,,,
124,117.2738325,31.86373693,1,0,16,金寨路-桐城路,3,,,,,,
125,117.273918,31.86375003,1,0,16,金寨路-桐城路,3,,,,,,
126,117.274005,31.86375804,1,0,16,金寨路-桐城路,3,,,,,,
127,117.2740895,31.86375804,1,0,16,金寨路-桐城路,3,,,,,,
128,117.274174,31.863768,1,0,16,金寨路-桐城路,3,,,,,,
129,117.2742549,31.863768,1,0,16,金寨路-桐城路,3,,,,,,
130,117.2743358,31.86380008,1,0,16,金寨路-桐城路,3,,,,,,
131,117.2744264,31.86379909,1,0,16,桐城路,3,,,,,,
132,117.2819144,31.86362613,1,0,16,徽州大道,4,,,,,,
133,117.2819958,31.86360893,1,0,16,徽州大道-无为路,4,,,,,,
134,117.2820669,31.86361347,1,0,16,徽州大道-无为路,4,,,,,,
135,117.2821416,31.86361347,1,0,16,徽州大道-无为路,4,,,,,,
136,117.2822286,31.86362613,1,0,16,徽州大道-无为路,4,,,,,,
137,117.2823069,31.86360657,1,0,16,徽州大道-无为路,4,,,,,,
138,117.2823974,31.8636096,1,0,16,徽州大道-无为路,4,,,,,,
139,117.2824843,31.86359825,1,0,16,徽州大道-无为路,4,,,,,,
140,117.2825655,31.86359825,1,0,16,徽州大道-无为路,4,,,,,,
141,117.2826449,31.86359634,1,0,16,徽州大道-无为路,4,,,,,,
142,117.2827185,31.86360133,1,0,16,徽州大道-无为路,4,,,,,,
143,117.2828052,31.86359632,1,0,16,徽州大道-无为路,4,,,,,,
144,117.2828916,31.86359091,1,0,16,徽州大道-无为路,4,,,,,,
145,117.2829755,31.86359825,1,0,16,徽州大道-无为路,4,,,,,,
146,117.2830705,31.86360657,1,0,16,徽州大道-无为路,4,,,,,,
147,117.2831679,31.86360133,1,0,16,徽州大道-无为路,4,,,,,,
148,117.2832405,31.86359091,1,0,16,徽州大道-无为路,4,,,,,,
149,117.2833115,31.86357903,1,0,16,徽州大道-无为路,4,,,,,,
150,117.2833863,31.86357903,1,0,16,徽州大道-无为路,4,,,,,,
151,117.283461,31.86359091,1,0,16,徽州大道-无为路,4,,,,,,
152,117.2835319,31.86357903,1,0,16,徽州大道-无为路,4,,,,,,
153,117.283619,31.86359091,1,0,16,徽州大道-无为路,4,,,,,,
154,117.2837035,31.86360657,1,0,16,徽州大道-无为路,4,,,,,,
155,117.2837882,31.86362883,1,0,16,徽州大道-无为路,4,,,,,,
156,117.2838689,31.86362723,1,0,16,徽州大道-无为路,4,,,,,,
157,117.2839498,31.863648,1,0,16,徽州大道-无为路,4,,,,,,
158,117.2840404,31.863648,1,0,16,徽州大道-无为路,4,,,,,,
159,117.2841384,31.86366787,1,0,16,徽州大道-无为路,4,,,,,,
160,117.2842253,31.86367078,1,0,16,徽州大道-无为路,4,,,,,,
161,117.2843099,31.86367361,1,0,16,徽州大道-无为路,4,,,,,,
162,117.2844067,31.86367685,1,0,16,徽州大道-无为路,4,,,,,,
163,117.284495,31.86369503,1,0,16,徽州大道-无为路,4,,,,,,
164,117.2845757,31.86369345,1,0,16,徽州大道-无为路,4,,,,,,
165,117.2846722,31.86371097,1,0,16,徽州大道-无为路,4,,,,,,
166,117.2847534,31.86371097,1,0,16,徽州大道-无为路,4,,,,,,
167,117.2848331,31.86373104,1,0,16,徽州大道-无为路,4,,,,,,
168,117.2849188,31.86373104,1,0,16,徽州大道-无为路,4,,,,,,
169,117.2849972,31.86375102,1,0,16,徽州大道-无为路,4,,,,,,
170,117.2850817,31.86376002,1,0,16,徽州大道-无为路,4,,,,,,
171,117.2851625,31.86376002,1,0,16,徽州大道-无为路,4,,,,,,
172,117.2852458,31.86377703,1,0,16,徽州大道-无为路,4,,,,,,
173,117.2853169,31.86377703,1,0,16,徽州大道-无为路,4,,,,,,
174,117.2853953,31.86377703,1,0,16,徽州大道-无为路,4,,,,,,
175,117.2854725,31.86377703,1,0,16,徽州大道-无为路,4,,,,,,
176,117.2855621,31.86379156,1,0,16,徽州大道-无为路,4,,,,,,
177,117.2856271,31.86381952,1,0,16,徽州大道-无为路,4,,,,,,
178,117.2857177,31.86382989,1,0,16,徽州大道-无为路,4,,,,,,
179,117.285815,31.86383697,1,0,16,无为路,4,,,,,,
180,117.2858868,31.86384924,1,0,16,无为路-环城南路,4,,,,,,
181,117.2859686,31.86383697,1,0,16,无为路-环城南路,4,,,,,,
182,117.2860495,31.86384804,1,0,16,无为路-环城南路,4,,,,,,
183,117.2861438,31.86384804,1,0,16,无为路-环城南路,4,,,,,,
184,117.2862344,31.86387099,1,0,16,无为路-环城南路,4,,,,,,
185,117.2863251,31.86387099,1,0,16,无为路-环城南路,4,,,,,,
186,117.2864121,31.86387099,1,0,16,无为路-环城南路,4,,,,,,
187,117.2865101,31.86388221,1,0,16,无为路-环城南路,4,,,,,,
188,117.2865909,31.86391302,1,0,16,无为路-环城南路,4,,,,,,
189,117.2866853,31.86391302,1,0,16,无为路-环城南路,4,,,,,,
190,117.2867722,31.86391302,1,0,16,无为路-环城南路,4,,,,,,
191,117.2868531,31.86391302,1,0,16,无为路-环城南路,4,,,,,,
192,117.2869376,31.86393102,1,0,16,无为路-环城南路,4,,,,,,
193,117.2870283,31.86393102,1,0,16,无为路-环城南路,4,,,,,,
194,117.2871189,31.86395001,1,0,16,无为路-环城南路,4,,,,,,
195,117.2872096,31.86395001,1,0,16,无为路-环城南路,4,,,,,,
196,117.2873051,31.86395326,1,0,16,无为路-环城南路,4,,,,,,
197,117.2873958,31.86396673,1,0,16,无为路-环城南路,4,,,,,,
198,117.287473,31.863988,1,0,16,无为路-环城南路,4,,,,,,
199,117.2875529,31.863988,1,0,16,无为路-环城南路,4,,,,,,
200,117.2876445,31.863988,1,0,16,无为路-环城南路,4,,,,,,
201,117.2877229,31.86401103,1,0,16,无为路-环城南路,4,,,,,,
202,117.2878196,31.86403,1,0,16,无为路-环城南路,4,,,,,,
203,117.2879042,31.86403,1,0,16,无为路-环城南路,4,,,,,,
204,117.2879887,31.86403,1,0,16,无为路-环城南路,4,,,,,,
205,117.2880793,31.86403,1,0,16,无为路-环城南路,4,,,,,,
206,117.2881639,31.86404146,1,0,16,无为路-环城南路,4,,,,,,
207,117.2882484,31.86404391,1,0,16,无为路-环城南路,4,,,,,,
208,117.2883293,31.86405739,1,0,16,无为路-环城南路,4,,,,,,
209,117.2884199,31.86407601,1,0,16,无为路-环城南路,4,,,,,,
210,117.2885106,31.86407601,1,0,16,无为路-环城南路,4,,,,,,
211,117.2886012,31.86409599,1,0,16,无为路-环城南路,4,,,,,,
212,117.2886882,31.86411102,1,0,16,无为路-环城南路,4,,,,,,
213,117.2887801,31.86411102,1,0,16,无为路-环城南路,4,,,,,,
214,117.288867,31.86412844,1,0,16,无为路-环城南路,4,,,,,,
215,117.2889479,31.86413579,1,0,16,无为路-环城南路,4,,,,,,
216,117.2890226,31.86414801,1,0,16,无为路-环城南路,4,,,,,,
217,117.2891133,31.86416601,1,0,16,无为路-环城南路,4,,,,,,
218,117.2892101,31.86416601,1,0,16,无为路-环城南路,4,,,,,,
219,117.2893007,31.86417699,1,0,16,无为路-环城南路,4,,,,,,
220,117.2893926,31.86419092,1,0,16,无为路-环城南路,4,,,,,,
221,117.289482,31.86420804,1,0,16,无为路-环城南路,4,,,,,,
222,117.2895764,31.86422194,1,0,16,无为路-环城南路,4,,,,,,
223,117.2896694,31.86422101,1,0,16,无为路-环城南路,4,,,,,,
224,117.2897578,31.86424676,1,0,16,无为路-环城南路,4,,,,,,
225,117.2898349,31.86424507,1,0,16,无为路-环城南路,4,,,,,,
226,117.2899157,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
227,117.2899976,31.86424149,1,0,16,无为路-环城南路,4,,,,,,
228,117.2900656,31.864259,1,0,16,无为路-环城南路,4,,,,,,
229,117.2901533,31.86426074,1,0,16,无为路-环城南路,4,,,,,,
230,117.290244,31.86426809,1,0,16,无为路-环城南路,4,,,,,,
231,117.2903184,31.86425675,1,0,16,无为路-环城南路,4,,,,,,
232,117.2903997,31.86426676,1,0,16,无为路-环城南路,4,,,,,,
233,117.2904907,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
234,117.2905773,31.86427276,1,0,16,无为路-环城南路,4,,,,,,
235,117.2906678,31.86426676,1,0,16,无为路-环城南路,4,,,,,,
236,117.2907463,31.86426375,1,0,16,无为路-环城南路,4,,,,,,
237,117.2908234,31.86425675,1,0,16,无为路-环城南路,4,,,,,,
238,117.2909018,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
239,117.2909827,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
240,117.2910598,31.86426676,1,0,16,无为路-环城南路,4,,,,,,
241,117.2911407,31.86426375,1,0,16,无为路-环城南路,4,,,,,,
242,117.2912485,31.86426375,1,0,16,无为路-环城南路,4,,,,,,
243,117.2913392,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
244,117.2914396,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
245,117.2915303,31.86426375,1,0,16,无为路-环城南路,4,,,,,,
246,117.2916148,31.86426375,1,0,16,无为路-环城南路,4,,,,,,
247,117.2917054,31.8642633,1,0,16,无为路-环城南路,4,,,,,,
248,117.2917961,31.86425675,1,0,16,无为路-环城南路,4,,,,,,
249,117.2918831,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
250,117.2919811,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
251,117.2920644,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
252,117.2921587,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
253,117.292248,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
254,117.2923437,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
255,117.2924405,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
256,117.2925348,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
257,117.2926193,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
258,117.292702,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
259,117.2927847,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
260,117.2928692,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
261,117.2929535,31.86422918,1,0,16,无为路-环城南路,4,,,,,,
262,117.2930468,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
263,117.2931351,31.86424329,1,0,16,无为路-环城南路,4,,,,,,
264,117.2932184,31.86422918,1,0,16,无为路-环城南路,4,,,,,,
265,117.2933004,31.86422918,1,0,16,无为路-环城南路,4,,,,,,
266,117.2933813,31.86422918,1,0,16,无为路-环城南路,4,,,,,,
267,117.2934458,31.86422329,1,0,16,环城南路,4,,,,,,
268,117.2935204,31.86422918,1,0,16,环城南路-滁州路,4,,,,,,
269,117.29362,31.86422814,1,0,16,环城南路-滁州路,4,,,,,,
270,117.293731,31.86421013,1,0,16,环城南路-滁州路,4,,,,,,
271,117.2938321,31.86422918,1,0,16,环城南路-滁州路,4,,,,,,
272,117.2939252,31.86422918,1,0,16,环城南路-滁州路,4,,,,,,
273,117.294021,31.86423136,1,0,16,环城南路-滁州路,4,,,,,,
274,117.2942821,31.86421723,1,0,16,环城南路-滁州路,4,,,,,,
275,117.2943601,31.86422105,1,0,16,环城南路-滁州路,4,,,,,,
276,117.2944334,31.864208,1,0,16,环城南路-滁州路,4,,,,,,
277,117.2945144,31.86418599,1,0,16,环城南路-滁州路,4,,,,,,
278,117.2946186,31.86418574,1,0,16,环城南路-滁州路,4,,,,,,
279,117.2947031,31.86416596,1,0,16,环城南路-滁州路,4,,,,,,
280,117.2947726,31.86414744,1,0,16,环城南路-滁州路,4,,,,,,
281,117.2948525,31.864141,1,0,16,环城南路-滁州路,4,,,,,,
282,117.2949288,31.86414765,1,0,16,环城南路-滁州路,4,,,,,,
283,117.2950106,31.86411474,1,0,16,环城南路-滁州路,4,,,,,,
284,117.2951012,31.86410207,1,0,16,环城南路-滁州路,4,,,,,,
285,117.2951858,31.864096,1,0,16,环城南路-滁州路,4,,,,,,
286,117.295276,31.86407685,1,0,16,环城南路-滁州路,4,,,,,,
287,117.2953732,31.864047,1,0,16,环城南路-滁州路,4,,,,,,
288,117.2954712,31.86402309,1,0,16,环城南路-滁州路,4,,,,,,
289,117.295574,31.86399548,1,0,16,环城南路-滁州路,4,,,,,,
290,117.295657,31.86398021,1,0,16,环城南路-滁州路,4,,,,,,
291,117.2957483,31.86396243,1,0,16,环城南路-滁州路,4,,,,,,
292,117.295816,31.863946,1,0,16,环城南路-滁州路,4,,,,,,
293,117.2958975,31.86391208,1,0,16,环城南路-滁州路,4,,,,,,
294,117.2959809,31.86387735,1,0,16,环城南路-滁州路,4,,,,,,
295,117.2960849,31.86386383,1,0,16,环城南路-滁州路,4,,,,,,
296,117.296178,31.86384056,1,0,16,环城南路-滁州路,4,,,,,,
297,117.2962626,31.86382463,1,0,16,环城南路-滁州路,4,,,,,,
298,117.2963606,31.863796,1,0,16,环城南路-滁州路,4,,,,,,
299,117.2964635,31.8637793,1,0,16,环城南路-滁州路,4,,,,,,
300,117.2965517,31.86376583,1,0,16,环城南路-滁州路,4,,,,,,
301,117.2966386,31.863737,1,0,16,环城南路-滁州路,4,,,,,,
302,117.2967232,31.8637205,1,0,16,环城南路-滁州路,4,,,,,,
303,117.296798,31.86370575,1,0,16,环城南路-滁州路,4,,,,,,
304,117.2969045,31.863681,1,0,16,环城南路-滁州路,4,,,,,,
305,117.2970011,31.863655,1,0,16,环城南路-滁州路,4,,,,,,
306,117.2971054,31.863637,1,0,16,环城南路-滁州路,4,,,,,,
307,117.2972095,31.86362618,1,0,16,环城南路-滁州路,4,,,,,,
308,117.2973063,31.8636176,1,0,16,环城南路-滁州路,4,,,,,,
309,117.297392,31.86360824,1,0,16,环城南路-滁州路,4,,,,,,
310,117.2974767,31.86361391,1,0,16,环城南路-滁州路,4,,,,,,
311,117.2975668,31.8636176,1,0,16,环城南路-滁州路,4,,,,,,
312,117.2976573,31.86361135,1,0,16,环城南路-滁州路,4,,,,,,
313,117.2977707,31.86360417,1,0,16,环城南路-滁州路,4,,,,,,
314,117.297833,31.86362618,1,0,16,环城南路-滁州路,4,,,,,,
315,117.2979121,31.86362618,1,0,16,环城南路-滁州路,4,,,,,,
316,117.2980033,31.863637,1,0,16,环城南路-滁州路,4,,,,,,
317,117.298095,31.863655,1,0,16,环城南路-滁州路,4,,,,,,
318,117.2981883,31.863681,1,0,16,环城南路-滁州路,4,,,,,,
319,117.2982819,31.863693,1,0,16,环城南路-滁州路,4,,,,,,
320,117.2983616,31.86370269,1,0,16,环城南路-滁州路,4,,,,,,
321,117.2984584,31.86371891,1,0,16,环城南路-滁州路,4,,,,,,
322,117.2985607,31.86373765,1,0,16,环城南路-滁州路,4,,,,,,
323,117.2986612,31.863756,1,0,16,环城南路-滁州路,4,,,,,,
324,117.2987494,31.86376583,1,0,16,环城南路-滁州路,4,,,,,,
325,117.2988363,31.863793,1,0,16,环城南路-滁州路,4,,,,,,
326,117.2989405,31.86380871,1,0,16,环城南路-滁州路,4,,,,,,
327,117.2990562,31.8638244,1,0,16,滁州路,4,,,,,,
328,117.2991377,31.86384423,1,0,16,滁州路-东方商城,4,,,,,,
329,117.2992236,31.86386585,1,0,16,滁州路-东方商城,4,,,,,,
330,117.2993092,31.86386628,1,0,16,滁州路-东方商城,4,,,,,,
331,117.2994097,31.86387976,1,0,16,滁州路-东方商城,4,,,,,,
332,117.2994905,31.86391161,1,0,16,滁州路-东方商城,4,,,,,,
333,117.2995787,31.86393121,1,0,16,滁州路-东方商城,4,,,,,,
334,117.2996498,31.86394468,1,0,16,滁州路-东方商城,4,,,,,,
335,117.2997404,31.86395693,1,0,16,滁州路-东方商城,4,,,,,,
336,117.2998347,31.86398388,1,0,16,滁州路-东方商城,4,,,,,,
337,117.2999291,31.86400594,1,0,16,滁州路-东方商城,4,,,,,,
338,117.3000259,31.864025,1,0,16,滁州路-东方商城,4,,,,,,
339,117.3001202,31.86403559,1,0,16,滁州路-东方商城,4,,,,,,
340,117.3002009,31.8640498,1,0,16,滁州路-东方商城,4,,,,,,
341,117.3002958,31.8640665,1,0,16,滁州路-东方商城,4,,,,,,
342,117.3003787,31.86409169,1,0,16,滁州路-东方商城,4,,,,,,
343,117.3004656,31.86411129,1,0,16,滁州路-东方商城,4,,,,,,
344,117.3005502,31.8641253,1,0,16,滁州路-东方商城,4,,,,,,
345,117.3006323,31.86414122,1,0,16,滁州路-东方商城,4,,,,,,
346,117.3007229,31.86415715,1,0,16,滁州路-东方商城,4,,,,,,
347,117.3008234,31.86417675,1,0,16,滁州路-东方商城,4,,,,,,
348,117.3009165,31.86420248,1,0,16,东方商城,4,,,,,,
