08-00-28-12-dc-d0	3151.5763	11718.4262	2013-06-18 12:00:04	
08-00-28-12-dc-d0	3151.5762	11718.4086	2013-06-18 12:00:09	
08-00-28-12-dc-d0	3151.5771	11718.3868	2013-06-18 12:00:14	
08-00-28-12-dc-d0	3151.5814	11718.3616	2013-06-18 12:00:19	
08-00-28-12-dc-d0	3151.5828	11718.3496	2013-06-18 12:00:24	
08-00-28-12-dc-d0	3151.5828	11718.3495	2013-06-18 12:00:29	
08-00-28-12-dc-d0	3151.5828	11718.3495	2013-06-18 12:00:34	
08-00-28-12-dc-d0	3151.5828	11718.3494	2013-06-18 12:00:39	
08-00-28-12-dc-d0	3151.5820	11718.3425	2013-06-18 12:00:44	
08-00-28-12-dc-d0	3151.5820	11718.3279	2013-06-18 12:00:49	
08-00-28-12-dc-d0	3151.5823	11718.3103	2013-06-18 12:00:54	
08-00-28-12-dc-d0	3151.5832	11718.2974	2013-06-18 12:00:59	
08-00-28-12-dc-d0	3151.5888	11718.2852	2013-06-18 12:01:04	
08-00-28-12-dc-d0	3151.5905	11718.2716	2013-06-18 12:01:09	
08-00-28-12-dc-d0	3151.5940	11718.2623	2013-06-18 12:01:14	
08-00-28-12-dc-d0	3151.6029	11718.2541	2013-06-18 12:01:19	
08-00-28-12-dc-d0	3151.6169	11718.2449	2013-06-18 12:01:24	
08-00-28-12-dc-d0	3151.6398	11718.2340	2013-06-18 12:01:29	
08-00-28-12-dc-d0	3151.6695	11718.2218	2013-06-18 12:01:34	
08-00-28-12-dc-d0	3151.6973	11718.2095	2013-06-18 12:01:39	
08-00-28-12-dc-d0	3151.7227	11718.1990	2013-06-18 12:01:44	
08-00-28-12-dc-d0	3151.7476	11718.1898	2013-06-18 12:01:49	
08-00-28-12-dc-d0	3151.7693	11718.1783	2013-06-18 12:01:54	
08-00-28-12-dc-d0	3151.7870	11718.1704	2013-06-18 12:01:59	
08-00-28-12-dc-d0	3151.8051	11718.1636	2013-06-18 12:02:04	
08-00-28-12-dc-d0	3151.8236	11718.1563	2013-06-18 12:02:09	
08-00-28-12-dc-d0	3151.8362	11718.1493	2013-06-18 12:02:14	
08-00-28-12-dc-d0	3151.8412	11718.1471	2013-06-18 12:02:19	
08-00-28-12-dc-d0	3151.8422	11718.1467	2013-06-18 12:02:24	
08-00-28-12-dc-d0	3151.8424	11718.1466	2013-06-18 12:02:29	
08-00-28-12-dc-d0	3151.8426	11718.1466	2013-06-18 12:02:34	
08-00-28-12-dc-d0	3151.8428	11718.1465	2013-06-18 12:02:39	
08-00-28-12-dc-d0	3151.8430	11718.1465	2013-06-18 12:02:44	
08-00-28-12-dc-d0	3151.8432	11718.1464	2013-06-18 12:02:49	
08-00-28-12-dc-d0	3151.8433	11718.1464	2013-06-18 12:02:54	
08-00-28-12-dc-d0	3151.8550	11718.1369	2013-06-18 12:02:59	
08-00-28-12-dc-d0	3151.8618	11718.1142	2013-06-18 12:03:04	
08-00-28-12-dc-d0	3151.8616	11718.0859	2013-06-18 12:03:09	
08-00-28-12-dc-d0	3151.8570	11718.0607	2013-06-18 12:03:14	
08-00-28-12-dc-d0	3151.8564	11718.0553	2013-06-18 12:03:19	
08-00-28-12-dc-d0	3151.8564	11718.0552	2013-06-18 12:03:24	
08-00-28-12-dc-d0	3151.8564	11718.0551	2013-06-18 12:03:29	
08-00-28-12-dc-d0	3151.8564	11718.0548	2013-06-18 12:03:34	
08-00-28-12-dc-d0	3151.8548	11718.0426	2013-06-18 12:03:39	
08-00-28-12-dc-d0	3151.8505	11718.0226	2013-06-18 12:03:44	
08-00-28-12-dc-d0	3151.8444	11717.9955	2013-06-18 12:03:49	
08-00-28-12-dc-d0	3151.8391	11717.9653	2013-06-18 12:03:54	
08-00-28-12-dc-d0	3151.8347	11717.9334	2013-06-18 12:04:00	
08-00-28-12-dc-d0	3151.8312	11717.9135	2013-06-18 12:04:04	
08-00-28-12-dc-d0	3151.8264	11717.8892	2013-06-18 12:04:09	
08-00-28-12-dc-d0	3151.8209	11717.8573	2013-06-18 12:04:15	
